SMOTE_1st_tuning_not_pca_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.980377358,0.461538462,0.965542522,0.72095791,0.96364062
recall,0.984090909,0.409090909,0.965542522,0.696590909,0.965542522
f1-score,0.982230624,0.43373494,0.965542522,0.707982782,0.964537215
support,1320,44,0.965542522,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_not_pca_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.983295368,0.468085106,0.965542522,0.725690237,0.966675682
recall,0.981060606,0.5,0.965542522,0.740530303,0.965542522
f1-score,0.982176716,0.483516484,0.965542522,0.7328466,0.966090902
support,1320,44,0.965542522,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca1_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.978211871,0.454545455,0.965542522,0.716378663,0.961319406
recall,0.986363636,0.340909091,0.965542522,0.663636364,0.965542522
f1-score,0.982270841,0.38961039,0.965542522,0.685940615,0.963152762
support,1320,44,0.965542522,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca1_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.979622642,0.435897436,0.964076246,0.707760039,0.962083119
recall,0.983333333,0.386363636,0.964076246,0.684848485,0.964076246
f1-score,0.98147448,0.409638554,0.964076246,0.695556517,0.96302816
support,1320,44,0.964076246,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca2_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.979607251,0.425,0.963343109,0.702303625,0.961716694
recall,0.982575758,0.386363636,0.963343109,0.684469697,0.963343109
f1-score,0.981089259,0.404761905,0.963343109,0.692925582,0.962498054
support,1320,44,0.963343109,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca2_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.984603541,0.369230769,0.955278592,0.676917155,0.964752807
recall,0.968939394,0.545454545,0.955278592,0.75719697,0.955278592
f1-score,0.976708667,0.440366972,0.955278592,0.70853782,0.959407322
support,1320,44,0.955278592,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca3_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.979591837,0.414634146,0.962609971,0.697112992,0.961367395
recall,0.981818182,0.386363636,0.962609971,0.684090909,0.962609971
f1-score,0.980703746,0.4,0.962609971,0.690351873,0.961971367
support,1320,44,0.962609971,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_1st_tuning_pca3_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.985395849,0.396825397,0.958211144,0.691110623,0.966409706
recall,0.971212121,0.568181818,0.958211144,0.76969697,0.958211144
f1-score,0.978252575,0.46728972,0.958211144,0.722771147,0.961769903
support,1320,44,0.958211144,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_not_pca_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.979859013,0.433333333,0.963831867,0.706596173,0.962229152
recall,0.982828283,0.393939394,0.963831867,0.688383838,0.963831867
f1-score,0.981341402,0.412698413,0.963831867,0.697019907,0.96299808
support,990,33,0.963831867,1023,1023
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_not_pca_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.98393267,0.403508772,0.959677419,0.693720721,0.965209319
recall,0.974242424,0.522727273,0.959677419,0.748484848,0.959677419
f1-score,0.979063571,0.455445545,0.959677419,0.717254558,0.962172667
support,1320,44,0.959677419,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_pca1_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.97997998,0.541666667,0.96969697,0.760823323,0.965840841
recall,0.988888889,0.393939394,0.96969697,0.691414141,0.96969697
f1-score,0.984414279,0.456140351,0.96969697,0.720277315,0.967373184
support,990,33,0.96969697,1023,1023
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_pca1_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.983206107,0.407407407,0.960410557,0.695306757,0.964631955
recall,0.975757576,0.5,0.960410557,0.737878788,0.960410557
f1-score,0.979467681,0.448979592,0.960410557,0.714223636,0.962355162
support,1320,44,0.960410557,1364,1364
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_pca2_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.981538462,0.3125,0.950146628,0.647019231,0.959956576
recall,0.966666667,0.454545455,0.950146628,0.710606061,0.950146628
f1-score,0.974045802,0.37037037,0.950146628,0.672208086,0.954572401
support,990,33,0.950146628,1023,1023
,,,,,
,,,,,
,,,,,
SMOTE_2nd_tuning_pca2_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
